"treatment","measurement","time","dens","temp","group"
"C",29,670.3,0,20,"cil"
"C",29,670.3,0,20,"cil"
"C",29,670.3,0,20,"cil"
"C",29,670.3,0,20,"cil"
"D",29,670.3,0,20,"cil"
"D",29,670.3,0,20,"cil"
"A",30,689.8,0,20,"cil"
"A",30,689.8,0,20,"cil"
"A",30,689.8,0,20,"cil"
"B",30,689.8,0,20,"cil"
"C",30,689.8,0,20,"cil"
"C",30,689.8,0,20,"cil"
"C",30,689.8,0,20,"cil"
"C",30,689.8,0,20,"cil"
"C",30,689.8,0,20,"cil"
"C",30,689.8,0,20,"cil"
"A",31,714.3,0,20,"cil"
"A",31,714.3,0,20,"cil"
"A",31,714.3,0,20,"cil"
"C",31,714.3,0,20,"cil"
"C",31,714.3,0,20,"cil"
"C",31,714.3,0,20,"cil"
"C",31,714.3,0,20,"cil"
"C",31,714.3,0,20,"cil"
"C",31,714.3,0,20,"cil"
"A",32,738.8,0,20,"cil"
"A",32,738.8,0,20,"cil"
"A",32,738.8,0,20,"cil"
"B",32,738.8,0,20,"cil"
"C",32,738.8,0,20,"cil"
"C",32,738.8,0,20,"cil"
"C",32,738.8,0,20,"cil"
"C",32,738.8,0,20,"cil"
"D",32,738.8,0,20,"cil"
"A",33,763.8,0,20,"cil"
"A",33,763.8,0,20,"cil"
"A",33,763.8,0,20,"cil"
"B",33,763.8,0,20,"cil"
"B",33,763.8,0,20,"cil"
"C",33,763.8,0,20,"cil"
"C",33,763.8,0,20,"cil"
"C",33,763.8,0,20,"cil"
"C",33,763.8,0,20,"cil"
"D",33,763.8,0,20,"cil"
"A",34,787.8,0,20,"cil"
"A",34,787.8,0,20,"cil"
"A",34,787.8,0,20,"cil"
"B",34,787.8,0,20,"cil"
"B",34,787.8,0,20,"cil"
"B",34,787.8,0,20,"cil"
"C",34,787.8,0,20,"cil"
"C",34,787.8,0,20,"cil"
"C",34,787.8,0,20,"cil"
"C",34,787.8,0,20,"cil"
"C",34,787.8,0,20,"cil"
"D",34,787.8,0,20,"cil"
"A",35,813.8,0,20,"cil"
"A",35,813.8,0,20,"cil"
"A",35,813.8,0,20,"cil"
"B",35,813.8,0,20,"cil"
"C",35,813.8,0,20,"cil"
"C",35,813.8,0,20,"cil"
"C",35,813.8,0,20,"cil"
"A",36,834.3,0,20,"cil"
"A",36,834.3,0,20,"cil"
"A",36,834.3,0,20,"cil"
"B",36,834.3,0,20,"cil"
"C",36,834.3,0,20,"cil"
"C",36,834.3,0,20,"cil"
"C",36,834.3,0,20,"cil"
"C",36,834.3,0,20,"cil"
"C",36,834.3,0,20,"cil"
"A",37,857.8,0,20,"cil"
"A",37,857.8,0,20,"cil"
"A",37,857.8,0,20,"cil"
"C",37,857.8,0,20,"cil"
"C",37,857.8,0,20,"cil"
"C",37,857.8,0,20,"cil"
"C",37,857.8,0,20,"cil"
"A",38,881.3,0,20,"cil"
"A",38,881.3,0,20,"cil"
"A",38,881.3,0,20,"cil"
"C",38,881.3,0,20,"cil"
"C",38,881.3,0,20,"cil"
"C",38,881.3,0,20,"cil"
"A",39,911.8,0,20,"cil"
"A",39,911.8,0,20,"cil"
"A",39,911.8,0,20,"cil"
"C",39,911.8,0,20,"cil"
"C",39,911.8,0,20,"cil"
"C",39,911.8,0,20,"cil"
"C",39,911.8,0,20,"cil"
"C",39,911.8,0,20,"cil"
"C",39,911.8,0,20,"cil"
"A",40,930.8,0,20,"cil"
"A",40,930.8,0,20,"cil"
"A",40,930.8,0,20,"cil"
"C",40,930.8,0,20,"cil"
"C",40,930.8,0,20,"cil"
"C",40,930.8,0,20,"cil"
"C",40,930.8,0,20,"cil"
"C",40,930.8,0,20,"cil"
"C",40,930.8,0,20,"cil"
"D",40,930.8,0,20,"cil"
"A",41,957.3,0,20,"cil"
"A",41,957.3,0,20,"cil"
"A",41,957.3,0,20,"cil"
"B",41,957.3,0,20,"cil"
"C",41,957.3,0,20,"cil"
"C",41,957.3,0,20,"cil"
"C",41,957.3,0,20,"cil"
"C",41,957.3,0,20,"cil"
"C",41,957.3,0,20,"cil"
"C",41,957.3,0,20,"cil"
"D",41,957.3,0,20,"cil"
"A",42,976.3,0,20,"cil"
"A",42,976.3,0,20,"cil"
"A",42,976.3,0,20,"cil"
"C",42,976.3,0,20,"cil"
"C",42,976.3,0,20,"cil"
"C",42,976.3,0,20,"cil"
"C",42,976.3,0,20,"cil"
"C",42,976.3,0,20,"cil"
"C",42,976.3,0,20,"cil"
"D",42,976.3,0,20,"cil"
"A",43,995.3,0,20,"cil"
"A",43,995.3,0,20,"cil"
"A",43,995.3,0,20,"cil"
"B",43,995.3,0,20,"cil"
"B",43,995.3,0,20,"cil"
"C",43,995.3,0,20,"cil"
"C",43,995.3,0,20,"cil"
"C",43,995.3,0,20,"cil"
"C",43,995.3,0,20,"cil"
"C",43,995.3,0,20,"cil"
"C",43,995.3,0,20,"cil"
"D",43,995.3,0,20,"cil"
"D",43,995.3,0,20,"cil"
"A",44,1020.8,0,20,"cil"
"A",44,1020.8,0,20,"cil"
"A",44,1020.8,0,20,"cil"
"B",44,1020.8,0,20,"cil"
"B",44,1020.8,0,20,"cil"
"B",44,1020.8,0,20,"cil"
"C",44,1020.8,0,20,"cil"
"C",44,1020.8,0,20,"cil"
"C",44,1020.8,0,20,"cil"
"C",44,1020.8,0,20,"cil"
"D",44,1020.8,0,20,"cil"
"D",44,1020.8,0,20,"cil"
"D",44,1020.8,0,20,"cil"
"D",44,1020.8,0,20,"cil"
"A",45,1048.8,0,20,"cil"
"A",45,1048.8,0,20,"cil"
"A",45,1048.8,0,20,"cil"
"B",45,1048.8,0,20,"cil"
"B",45,1048.8,0,20,"cil"
"C",45,1048.8,0,20,"cil"
"C",45,1048.8,0,20,"cil"
"C",45,1048.8,0,20,"cil"
"C",45,1048.8,0,20,"cil"
"C",45,1048.8,0,20,"cil"
"C",45,1048.8,0,20,"cil"
"D",45,1048.8,0,20,"cil"
"D",45,1048.8,0,20,"cil"
"D",45,1048.8,0,20,"cil"
"A",46,1068.4,0,20,"cil"
"A",46,1068.4,0,20,"cil"
"A",46,1068.4,0,20,"cil"
"C",46,1068.4,0,20,"cil"
"C",46,1068.4,0,20,"cil"
"C",46,1068.4,0,20,"cil"
"C",46,1068.4,0,20,"cil"
"C",46,1068.4,0,20,"cil"
"D",46,1068.4,0,20,"cil"
"D",46,1068.4,0,20,"cil"
"D",46,1068.4,0,20,"cil"
"A",47,1093.8,0,20,"cil"
"A",47,1093.8,0,20,"cil"
"A",47,1093.8,0,20,"cil"
"B",47,1093.8,0,20,"cil"
"B",47,1093.8,0,20,"cil"
"B",47,1093.8,0,20,"cil"
